Image,Latitude,Longitude,Date
01798,-37.68593649908333,144.9255698728611,2017-02-22
01799,-37.68582984919444,144.92467268002775,2017-02-22
01800,-37.685691925305555,144.9235534779722,2017-02-22
01801,-37.68084111738889,144.8915320488611,2017-02-22
01802,-37.680915155027776,144.8926630904722,2017-02-22
01803,-37.685262460416666,144.9202014148611,2017-02-22
01804,-37.685104032861105,144.91908676391665,2017-02-22
01805,-37.6890550105,144.9539219236389,2017-02-22
01806,-37.68891380294444,144.9528055365,2017-02-22
01807,-37.68115947580555,144.90562494833333,2017-02-22
01808,-37.68110155883333,144.90450109119445,2017-02-22
01809,-37.68148867136111,144.90805932491668,2017-02-22
01810,-37.68131767044444,144.90695690166666,2017-02-22
01811,-37.68063135891666,144.88859493627777,2017-02-22
01812,-37.680611747361105,144.8861216877222,2017-02-22
01813,-37.68071904397222,144.88972496566666,2017-02-22
01814,-37.680944281555554,144.88508213377776,2017-02-22
01815,-37.68558165725,144.92265964283334,2017-02-22
01816,-37.685441467388884,144.9215410198611,2017-02-22
01817,-37.68643751641666,144.92959339366666,2017-02-22
01818,-37.68630220144444,144.92847395363887,2017-02-22
01819,-37.6887474825,144.95111800383333,2017-02-22
01820,-37.68095886113888,144.89559462280556,2017-02-22
01821,-37.68931500916666,144.95581192619443,2017-02-22
01822,-37.68885729744444,144.95224345163888,2017-02-22
01823,-37.680920175249994,144.89672421527777,2017-02-22
01824,-37.68918139419444,144.95469568744443,2017-02-22
01825,-37.68082228963889,144.9015801683889,2017-02-22
01826,-37.68076515586111,144.90045098697223,2017-02-22
01827,-37.68746426394444,144.93797710161112,2017-02-22
01828,-37.687326835222215,144.93685972977778,2017-02-22
01829,-37.688405696888886,144.94717454108334,2017-02-22
01830,-37.688287029138884,144.94605218930556,2017-02-22
01831,-37.68086391366666,144.89830589902778,2017-02-22
01832,-37.680815555833334,144.89943470922222,2017-02-22
01833,-37.68372314672222,144.91380220933334,2017-02-22
01834,-37.68302010577778,144.91308322152778,2017-02-22
01835,-37.68665953363889,144.9313820574722,2017-02-22
01836,-37.68652001805555,144.9302643572222,2017-02-22
01837,-37.687896014277776,144.94212642780556,2017-02-22
