Image,Write Pixel,Black Pixel
AdpG_00039-2,0.026091612135633553,0.9739083878643664
AdpG_00039-3,0.024336704342653184,0.9756632956573468
AdpG_00040-1,0.015710886377156456,0.9842891136228435
AdpG_00040-2,0.08061273051754908,0.919387269482451
AdpG_00040-3,0.08047590719809637,0.9195240928019036
AdpG_00041-1,0.006496133254015467,0.9935038667459846
AdpG_00041-2,0.16827483640690066,0.8317251635930993
AdpG_00041-3,0.004675788221296847,0.9953242117787031
AdpG_00042-1,0.0185901249256395,0.9814098750743605
AdpG_00042-2,0.019060083283759667,0.9809399167162404
AdpG_00042-3,0.016722189173111243,0.9832778108268888
AdpG_00043-1,0.03482450922070196,0.965175490779298
AdpG_00043-2,0.15675193337299226,0.8432480666270077
AdpG_00043-3,0.05638310529446758,0.9436168947055324
AdpG_00044-1,0.014443783462224866,0.9855562165377751
AdpG_00044-2,0.051522903033908385,0.9484770969660916
AdpG_00044-3,0.028792385484830457,0.9712076145151696
AdpG_00045-1,0.039750148720999405,0.9602498512790006
AdpG_00045-2,0.1795121951219512,0.8204878048780488
AdpG_00045-3,0.1206484235574063,0.8793515764425937
AdpG_00046-1,0.02924449732302201,0.970755502676978
AdpG_00046-2,0.03471148126115407,0.9652885187388459
AdpG_00046-3,0.01826888756692445,0.9817311124330755
AdpG_00047-1,0.1590898274836407,0.8409101725163592
AdpG_00047-2,0.010582986317668054,0.9894170136823319
AdpG_00047-3,0.052849494348602026,0.947150505651398
AdpG_00048-1,0.07323022010707912,0.9267697798929209
AdpG_00048-2,0.12785841760856634,0.8721415823914337
AdpG_00048-3,0.18286734086853063,0.8171326591314694
AdpG_00049-1,0.09293872694824509,0.9070612730517549
AdpG_00049-2,0.10903628792385485,0.8909637120761451
AdpG_00049-3,0.02533016061867936,0.9746698393813207
AdpG_00050-1,0.26015466983938135,0.7398453301606187
AdpG_00050-2,0.1911659726353361,0.8088340273646639
AdpG_00050-3,0.20100535395597857,0.7989946460440214
AdpG_00051-1,0.028560380725758477,0.9714396192742415
AdpG_00051-2,0.023521713265913145,0.9764782867340869
AdpG_00051-3,0.028149910767400355,0.9718500892325996
AdpG_00052-1,0.04316478286734087,0.9568352171326592
AdpG_00052-2,0.1119274241522903,0.8880725758477097
AdpG_00052-3,0.029173111243307556,0.9708268887566924
AdpG_00053-1,0.03466389054134444,0.9653361094586556
AdpG_00053-2,0.00811421772754313,0.9918857822724568
AdpG_00053-3,0.012790005948839975,0.9872099940511601
AdpG_00054-1,0.02760261748958953,0.9723973825104104
AdpG_00054-2,0.013420582986317669,0.9865794170136823
AdpG_00054-3,0.009851279000594884,0.9901487209994051
AdpG_00055-1,0.020362879238548483,0.9796371207614515
AdpG_00055-2,0.023123140987507437,0.9768768590124925
AdpG_00055-3,0.033170731707317075,0.9668292682926829
AdpG_00056-1,0.03715645449137418,0.9628435455086258
AdpG_00056-2,0.02014277215942891,0.979857227840571
AdpG_00056-3,0.015365853658536585,0.9846341463414634
AdpG_00057-1,0.061826293872694824,0.9381737061273052
AdpG_00057-2,0.06193932183224271,0.9380606781677573
AdpG_00057-3,0.042903033908387865,0.9570969660916121
AdpG_00058-1,0.027340868530636525,0.9726591314693634
AdpG_00058-2,0.03430696014277216,0.9656930398572279
AdpG_00058-3,0.03236763831052945,0.9676323616894705
AdpG_00059-1,0.03239738251041047,0.9676026174895895
AdpG_00059-2,0.016454491374182034,0.983545508625818
AdpG_00059-3,0.011612135633551457,0.9883878643664485
AdpG_00060-1,0.0036109458655562165,0.9963890541344438
AdpG_00060-2,0.14144556811421774,0.8585544318857823
AdpG_00060-3,0.1232064247471743,0.8767935752528258
AdpG_00061-1,0.04634741225461035,0.9536525877453896
AdpG_00061-2,0.018185603807257585,0.9818143961927425
AdpG_00061-3,0.03263533610945866,0.9673646638905413
AdpG_00062-1,0.02817965496728138,0.9718203450327186
AdpG_00062-2,0.034937537180249854,0.9650624628197502
AdpG_00062-3,0.030142772159428913,0.969857227840571
AdpG_00063-1,0.03721594289113623,0.9627840571088637
AdpG_00063-2,0.03709101725163593,0.9629089827483641
AdpG_00063-3,0.03063057703747769,0.9693694229625223
AdpG_00064-1,0.013016061867935752,0.9869839381320642
AdpG_00064-2,0.010398572278405712,0.9896014277215943
AdpG_00064-3,0.008941106484235574,0.9910588935157644
AdpG_00065-1,0.18350386674598454,0.8164961332540155
AdpG_00065-2,0.1051279000594884,0.8948720999405116
AdpG_00065-3,0.05810826888756693,0.9418917311124331
AdpG_00066-1,0.0346162998215348,0.9653837001784652
AdpG_00066-2,0.030071386079714456,0.9699286139202855
AdpG_00066-3,0.017941701368233195,0.9820582986317669
AdpG_00067-1,0.05893515764425937,0.9410648423557406
AdpG_00067-2,0.0261570493753718,0.9738429506246282
AdpG_00067-3,0.015960737656157048,0.984039262343843
AdpG_00068-1,0.08654967281380131,0.9134503271861987
AdpG_00068-2,0.16189173111243307,0.838108268887567
AdpG_00068-3,0.09471148126115407,0.905288518738846
AdpG_00069-1,0.15788816180844736,0.8421118381915527
AdpG_00069-2,0.14942296252230816,0.8505770374776919
AdpG_00069-3,0.15699583581201665,0.8430041641879833
AdpG_00070-1,0.03550267697798929,0.9644973230220107
AdpG_00070-2,0.09649613325401547,0.9035038667459845
AdpG_00070-3,0.131279000594884,0.8687209994051159
AdpG_00071-1,0.18904818560380726,0.8109518143961927
AdpG_00071-2,0.21110648423557407,0.7888935157644259
AdpG_00071-3,0.16147531231409876,0.8385246876859013
AdpG_00072-1,0.013932183224271267,0.9860678167757287
AdpG_00072-2,0.02070196311719215,0.9792980368828078
AdpG_00072-3,0.015687091017251634,0.9843129089827484
AdpG_00073-1,0.019869125520523497,0.9801308744794766
AdpG_00073-2,0.007388459250446163,0.9926115407495538
AdpG_00073-3,0.018572278405710886,0.9814277215942891
AdpG_00074-1,0.07304580606781677,0.9269541939321833
AdpG_00074-2,0.12469363474122547,0.8753063652587745
AdpG_00074-3,0.03129089827483641,0.9687091017251636
AdpG_00075-1,0.21039262343842952,0.7896073765615705
AdpG_00075-2,0.1470731707317073,0.8529268292682927
AdpG_00075-3,0.10959547888161808,0.890404521118382
AdpG_00076-1,0.054866151100535394,0.9451338488994646
AdpG_00076-2,0.07131469363474123,0.9286853063652588
AdpG_00076-3,0.039274241522903035,0.960725758477097
AdpG_00077-1,0.026121356335514576,0.9738786436644854
AdpG_00077-2,0.02966686496133254,0.9703331350386675
AdpG_00077-3,0.09018441403926235,0.9098155859607376
AdpG_00078-1,0.018429506246281976,0.9815704937537181
AdpG_00078-2,0.05612730517549078,0.9438726948245092
AdpG_00078-3,0.034533016061867934,0.965466983938132
AdpG_00079-1,0.12264128494943485,0.8773587150505652
AdpG_00079-2,0.2074182034503272,0.7925817965496729
AdpG_00079-3,0.11599048185603807,0.8840095181439619
AdpG_00080-1,0.1292325996430696,0.8707674003569303
AdpG_00080-2,0.0779535990481856,0.9220464009518143
AdpG_00080-3,0.03421772754312909,0.9657822724568709
AdpG_00081-1,0.0691017251635931,0.9308982748364069
AdpG_00081-2,0.08516359309934562,0.9148364069006544
AdpG_00081-3,0.267441998810232,0.732558001189768
AdpG_00082-1,0.021624033313503866,0.9783759666864962
AdpG_00082-2,0.02761451516954194,0.9723854848304581
AdpG_00082-3,0.023932183224271267,0.9760678167757287
AdpG_00083-1,0.17274836406900654,0.8272516359309935
AdpG_00083-2,0.002760261748958953,0.9972397382510411
AdpG_00083-3,0.23096371207614516,0.7690362879238548
AdpG_00084-1,0.18854253420582986,0.8114574657941701
AdpG_00084-2,0.12635336109458656,0.8736466389054134
AdpG_00084-3,0.09144556811421772,0.9085544318857823
AdpG_00085-1,0.03712076145151695,0.962879238548483
AdpG_00085-2,0.03417013682331945,0.9658298631766805
AdpG_00085-3,0.03522903033908388,0.9647709696609161
AdpG_00086-1,0.0723081499107674,0.9276918500892326
AdpG_00086-2,0.09030339083878644,0.9096966091612135
AdpG_00086-3,0.033158834027364664,0.9668411659726354
AdpG_00087-1,0.026787626412849496,0.9732123735871505
AdpG_00087-2,0.012736466389054135,0.9872635336109459
AdpG_00087-3,0.011249256395002974,0.988750743604997
AdpG_00088-1,0.08405710886377156,0.9159428911362284
AdpG_00088-2,0.05292682926829268,0.9470731707317073
AdpG_00088-3,0.0402498512790006,0.9597501487209994
AdpG_00089-1,0.0194883997620464,0.9805116002379536
AdpG_00089-2,0.013432480666270077,0.9865675193337299
AdpG_00089-3,0.003604997025580012,0.99639500297442
AdpG_00090-1,0.0351279000594884,0.9648720999405116
AdpG_00090-2,0.062111838191552644,0.9378881618084474
AdpG_00090-3,0.13516359309934564,0.8648364069006543
AdpG_00091-1,0.04280785246876859,0.9571921475312314
AdpG_00091-2,0.09425342058298632,0.9057465794170136
AdpG_00091-3,0.13034503271861986,0.8696549672813801
AdpG_00092-1,0.0948720999405116,0.9051279000594884
AdpG_00092-2,0.04249851279000595,0.9575014872099941
AdpG_00092-3,0.043367043426531825,0.9566329565734681
AdpG_00093-1,0.10452111838191552,0.8954788816180845
AdpG_00093-2,0.041802498512790005,0.95819750148721
AdpG_00093-3,0.034259369422962524,0.9657406305770375
